2310001,Aaqil Akthar,CSE,1,82.309998,NULL,CS1103|CS1104|CS1110|CS1108,CS1103S1|CS1104S2|CS1110S3|CS1108S1,NULL,0.000000,j9o44@gmail.com,1
2310002,Adhavan Saravanan,CSE,1,72.349998,NULL,CS1103|CS1104|CS1110|CS1108,CS1103S1|CS1104S2|CS1110S3|CS1108S1,NULL,0.000000,sz3b7f1qml@gmail.com,1
2310003,Adley Brinton,CSE,1,99.000000,NULL,CS1104|CS1103|CS1110|CS1108,CS1104S2|CS1103S1|CS1110S3|CS1108S1,CS1102S1,0.000000,sakthivel2310758@ssn.edu.in,1
2310004,Amita Jerlin Packiam J,CSE,1,74.940002,NULL,CS1101|CS1102|CS1103|CS1104|CS1107|CS1109,CS1101S2|CS1102S2|CS1103S1|CS1104S1|CS1107S1|CS1109S2,NULL,0.000000,dkaykerm@gmail.com,1
2310005,Balamurugan A,CSE,1,73.000000,NULL,CS1104|CS1103|CS1110|CS1108,CS1104S2|CS1103S1|CS1110S3|CS1108S1,NULL,0.000000,m6xthi@gmail.com,1
2310006,Balamurugan R,CSE,1,59.689999,NULL,CS1101|CS1102|CS1103|CS1104|CS1107|CS1109,CS1101S3|CS1102S1|CS1103S2|CS1104S3|CS1107S1|CS1109S2,NULL,0.000000,dwpp8r66@gmail.com,1
2310007,Balasaran S,CSE,1,87.139999,NULL,CS1104|CS1103|CS1110|CS1108,CS1104S2|CS1103S1|CS1110S3|CS1108S1,NULL,0.000000,cyfz3jyz@gmail.com,1
2310008,Benito Thangaraj,CSE,1,64.080002,NULL,CS1104|CS1103|CS1110|CS1108,CS1104S2|CS1103S1|CS1110S3|CS1108S1,CS1109S2,0.000000,s662oui4io@gmail.com,1
2310009,Deepadharshini S,CSE,1,58.000000,NULL,CS1104|CS1103|CS1110|CS1108,CS1104S2|CS1103S1|CS1110S3|CS1108S1,NULL,0.000000,7qmlgubw@gmail.com,1
2310010,Devashree L,CSE,1,80.650002,NULL,CS1104|CS1103|CS1110|CS1108,CS1104S2|CS1103S1|CS1110S3|CS1108S1,NULL,0.000000,w5eqh3i@gmail.com,1
2310011,Dinesh R,CSE,1,72.220001,NULL,CS1104|CS1103|CS1110|CS1108,CS1104S2|CS1103S1|CS1110S3|CS1108S1,NULL,0.000000,ioah5x1sx1@gmail.com,1
2310012,Gautam V R,CSE,1,81.949997,NULL,CS1104|CS1103|CS1110|CS1108,CS1104S2|CS1103S1|CS1110S3|CS1108S1,CS1102S1,0.000000,q3lbl5f015@gmail.com,1
2310013,Girishwin Sivamoorthi,CSE,1,77.699997,NULL,CS1104|CS1103|CS1110|CS1108,CS1104S2|CS1103S1|CS1110S3|CS1108S1,CS1109S2,0.000000,ramcharan2310608@ssn.edu.in,1
2310014,Dasari Gnana Neha,CSE,1,82.550003,NULL,CS1104|CS1103|CS1110|CS1108,CS1104S2|CS1103S1|CS1110S3|CS1108S1,NULL,0.000000,6ywi@gmail.com,1
2310015,Gurubaran K,CSE,1,56.029999,NULL,CS1104|CS1103|CS1110|CS1108,CS1104S2|CS1103S1|CS1110S3|CS1108S1,NULL,0.000000,kr4vla3nf2@gmail.com,1
2310016,Harish D,CSE,1,66.349998,NULL,CS1104|CS1103|CS1110|CS1108,CS1104S2|CS1103S1|CS1110S3|CS1108S1,NULL,0.000000,hgwu0skf7@gmail.com,1
2310017,Harish Kanna V K,CSE,1,76.559998,NULL,CS1104|CS1103|CS1105|CS1110,CS1104S2|CS1103S1|CS1105S1|CS1110S2,NULL,0.000000,jeb0o@gmail.com,1
2310018,Hema Varshni M,CSE,1,71.669998,NULL,CS1103|CS1104|CS1105|CS1110,CS1103S1|CS1104S3|CS1105S1|CS1110S2,NULL,0.000000,j21cjup6lw@gmail.com,1
2310019,Hemanth Raj S,CSE,1,67.589996,NULL,CS1104|CS1103|CS1105|CS1110,CS1104S3|CS1103S3|CS1105S1|CS1110S2,NULL,0.000000,b7defj0@gmail.com,1
2310020,Jagendran Kamak N,CSE,1,61.369999,NULL,CS1104|CS1103|CS1105|CS1110,CS1104S3|CS1103S3|CS1105S1|CS1110S2,CS1109S2,0.000000,v06urapj8@gmail.com,1
2310021,Jaibharath J,CSE,1,81.419998,NULL,CS1104|CS1103|CS1105|CS1110,CS1104S3|CS1103S3|CS1105S1|CS1110S2,NULL,0.000000,4hq7faj8@gmail.com,1
2310022,Joshikaa R M,CSE,3,81.459999,CS1103|CS1107|CS1105|CS1102|CS1110|CS1109|CS2102|CS2107|CS2101|CS2109,CS3101|CS3103|CS3105|CS316|CS3102|CS3110,CS3101S3|CS3103S2|CS3105S1|CS316S2|CS3102S3|CS3110S1,NULL,6.190000,q3gg@gmail.com,1
2310023,Kaviya Malar S,CSE,3,74.029999,CS1107|CS1109|CS1106|CS1104|CS1110|CS2102|CS2105|CS2110,CS3101|CS3103|CS3110|CS3108,CS3101S1|CS3103S2|CS3110S3|CS3108S2,NULL,6.280000,w7e7gaazu@gmail.com,1
2310024,Keerthana S,CSE,3,65.919998,CS1101|CS1104|CS1106|CS1110|CS2105|CS2109|CS2108|CS2107,CS3103|CS3101|CS3110|CS3108,CS3103S3|CS3101S3|CS3110S3|CS3108S2,NULL,8.070000,3stii@gmail.com,1
2310025,Kiruthiga S,CSE,3,78.750000,CS1109|CS1101|CS1107|CS1103|CS2107|CS2109|CS2102|CS2108,CS3103|CS3101|CS3110|CS3108,CS3103S3|CS3101S3|CS3110S3|CS3108S2,NULL,5.860000,qkrv5oim@gmail.com,1
2310026,Libini D,CSE,3,68.570000,CS1104|CS1105|CS1110|CS1102|CS1103|CS2102|CS2104|CS2101|CS2105|CS2110,CS3103|CS3101|CS3110|CS3108,CS3103S3|CS3101S3|CS3110S3|CS3108S2,NULL,7.090000,afwuywx7sb@gmail.com,1
2310027,Lohit Ajey M,CSE,3,81.080002,CS1108|CS1106|CS1107|CS1101|CS1105|CS2101|CS2105|CS2109|CS2110|CS2102|CS2103,CS3103|CS3101|CS3110|CS3108,CS3103S3|CS3101S3|CS3110S3|CS3108S2,NULL,5.670000,0fyacd75@gmail.com,1
2310028,Lohith Rajesh,CSE,3,76.029999,CS1103|CS1108|CS1102|CS1105|CS1109|CS2110|CS2106|CS2108|CS2101|CS2105,CS3103|CS3101|CS3110|CS3108,CS3103S3|CS3101S3|CS3110S3|CS3108S2,NULL,6.260000,9ox6qtjz2@gmail.com,1
2310029,Madhavan N,CSE,3,71.949997,CS1110|CS1108|CS1105|CS1104|CS1109|CS1103|CS2104|CS2106|CS2108|CS2107,CS3103|CS3101|CS3110|CS3108,CS3103S3|CS3101S3|CS3110S3|CS3108S2,NULL,9.280000,rcad99u@gmail.com,1
2310030,Magishri M,CSE,3,74.139999,CS1109|CS1108|CS1102|CS1103|CS1106|CS1110|CS2108|CS2105|CS2104|CS2102|CS2109|CS2103,CS3103|CS3101|CS3110|CS3108,CS3103S3|CS3101S3|CS3110S3|CS3108S2,NULL,8.440000,ylrfjnq@gmail.com,1
2310031,Monish Kumar,CSE,3,69.459999,CS1101|CS1103|CS1110|CS1104|CS1107|CS1109|CS2104|CS2101|CS2105|CS2109|CS2106,CS3103|CS3101|CS3110|CS3108,CS3103S3|CS3101S3|CS3110S3|CS3108S2,NULL,7.080000,lf28x8@gmail.com,1
2310032,Monish S M,CSE,3,69.000000,CS1110|CS1109|CS1106|CS1108|CS1104|CS2102|CS2101|CS2105|CS2104|CS2106|CS2109,CS3103|CS3101|CS3110|CS3108,CS3103S3|CS3101S3|CS3110S3|CS3108S2,NULL,7.500000,n7k5wl@gmail.com,1
2310033,Naresh Nanda,CSE,3,65.300003,CS1103|CS1107|CS1106|CS1108|CS1110|CS1101|CS2107|CS2104|CS2106|CS2101|CS2102,CS3103|CS3101|CS3110|CS3108,CS3103S3|CS3101S3|CS3110S3|CS3108S2,NULL,6.180000,mo248@gmail.com,1
2310034,Nishanthini S,CSE,3,91.339996,CS1101|CS1103|CS1102|CS1107|CS1104|CS2105|CS2104|CS2106|CS2103|CS2101|CS2110,CS3103|CS3101|CS3110|CS3108,CS3103S3|CS3101S3|CS3110S3|CS3108S2,NULL,6.330000,afih@gmail.com,1
2310035,Nithish Bala S,CSE,3,79.910004,CS1102|CS1106|CS1109|CS1107|CS1110|CS1104|CS2105|CS2102|CS2104|CS2110,CS3103|CS3101|CS3110|CS3108,CS3103S3|CS3101S3|CS3110S3|CS3108S2,NULL,4.900000,dpjsq6v@gmail.com,1
2310036,Nivethika S,CSE,3,67.349998,CS1109|CS1108|CS1107|CS1101|CS2102|CS2108|CS2107|CS2109,CS3103|CS3101|CS3110|CS3108,CS3103S3|CS3101S3|CS3110S3|CS3108S2,NULL,6.950000,1bf9es6@gmail.com,1
2310037,Nivi Shree V,CSE,3,79.220001,CS1103|CS1109|CS1101|CS1105|CS2104|CS2103|CS2102|CS2107,CS3103|CS3101|CS3110|CS3108,CS3103S3|CS3101S3|CS3110S3|CS3108S2,NULL,8.110000,pa5z8vd@gmail.com,1
2310038,Pramothita M A,CSE,3,88.349998,CS1108|CS1107|CS1102|CS1106|CS1105|CS1110|CS2110|CS2107|CS2106|CS2103|CS2105,CS3103|CS3101|CS3110|CS3108,CS3103S3|CS3101S3|CS3110S2|CS3108S1,NULL,7.920000,ggjw@gmail.com,1
2310039,Raja Lakshmi S,CSE,3,65.199997,CS1106|CS1109|CS1101|CS1107|CS1103|CS1102|CS2102|CS2104|CS2105|CS2108,CS3103|CS3101|CS3110|CS3108,CS3103S2|CS3101S2|CS3110S2|CS3108S1,NULL,6.220000,e7a3ft0van@gmail.com,1
2310040,Rithika Lakshmi Thiruneer Selvan,CSE,3,79.500000,CS1110|CS1108|CS1101|CS1104|CS2101|CS2109|CS2105|CS2104,CS3103|CS3101|CS3110|CS3108,CS3103S2|CS3101S2|CS3110S2|CS3108S1,NULL,6.350000,r9gl@gmail.com,1
2310041,Roshini R,CSE,3,59.369999,CS1106|CS1110|CS1101|CS1105|CS2108|CS2105|CS2101|CS2107,CS3103|CS3101|CS3110|CS3108,CS3103S2|CS3101S2|CS3110S2|CS3108S1,NULL,6.890000,l6nmz86@gmail.com,1
2310042,Sahanah R J,CSE,3,90.440002,CS1109|CS1108|CS1103|CS1110|CS1105|CS2106|CS2101|CS2108|CS2102|CS2109,CS3103|CS3101|CS3110|CS3108,CS3103S2|CS3101S2|CS3110S2|CS3108S1,NULL,7.100000,mupffkn@gmail.com,1
2310043,Sai Nithin Pojala,CSE,3,73.379997,CS1105|CS1109|CS1102|CS1101|CS2103|CS2107|CS2106|CS2110|CS2108,CS3103|CS3101|CS3110|CS3108,CS3103S2|CS3101S2|CS3110S2|CS3108S1,NULL,7.220000,nm6acatv@gmail.com,1
2310044,Salai Kavinvaan S T,CSE,5,93.470001,CS1106|CS1103|CS1102|CS1104|CS1108|CS2101|CS2106|CS2109|CS2105|CS2107|CS3103|CS3110|CS3102|CS3109|CS3104|CS4106|CS4101|CS4109|CS4110|CS4104,CS5104|CS5102|CS5110|CS5109,CS5104S3|CS5102S3|CS5110S3|CS5109S3,NULL,7.670000,1z97nzen7g@gmail.com,1
2310045,Sanjay Rajasekaran,CSE,5,84.650002,CS1104|CS1108|CS1105|CS1101|CS1106|CS1109|CS2106|CS2105|CS2107|CS2109|CS3107|CS3103|CS3102|CS3105|CS3104|CS4105|CS4102|CS4107|CS4110,CS5104|CS5102|CS5110|CS5109,CS5104S3|CS5102S3|CS5110S3|CS5109S3,NULL,3.530000,2b3f0@gmail.com,1
2310046,Sarvesh N,CSE,5,71.370003,CS1109|CS1108|CS1110|CS1103|CS1102|CS2110|CS2103|CS2104|CS2105|CS3108|CS3105|CS3102|CS3110|CS3109|CS3103|CS4102|CS4109|CS4110|CS4103|CS4106,CS5104|CS5102|CS5110|CS5109,CS5104S3|CS5102S3|CS5110S3|CS5109S3,NULL,2.240000,nsne@gmail.com,1
